detainer_detention_facility,county,city,state,uniqueid
SHAWANO COUNTY SHERIFF,Shawano County,SHAWANO,WI,d3641
SHAWNEE CORRECTIONS,Johnson County,VIENNA,IL,d3642
SHAWNEE COUNTY DEPT OF CORR.,Shawnee County,TOPEKA,KS,d3643
SHAWNEE COUNTY JUV.DET.CTR,Shawnee County,TOPEKA,KS,d3644
SHEBOYGAN COUNTY DETENTION CENTER,Sheboygan County,SHEBOYGAN,WI,d3645
SHELBY CO. SHERIFF OFFICE,Shelby County,MEMPHIS,TN,d3646
SHELBY COUNTY,Shelby County,SIDNEY,OH,d3647
SHELBY COUNTY DET CTR,Shelby County,SHELBYVILLE,KY,d3648
SHELBY COUNTY JAIL,Shelby County,COLUMBIANA,AL,d3649
SHELBY COUNTY JAIL,Shelby County,SHELBYVILLE,IN,d3650
"SHELBY COUNTY JAIL, IOWA",Shelby County,HARLAN,IA,d3651
SHELBY COUNTY SHERIFF,Shelby County,CENTER,TX,d3652
SHENANDOAH CO JAIL,Shenandoah County,WOODSTOCK,VA,d3653
SHENANDOAH POLICE DEPT.,Montgomery County,SHENANDOAH,TX,d3654
SHERBURNE COUNTY JAIL,Sherburne County,ELK RIVER,MN,d3655
SHERIDAN CORRECTIONAL CTR,Will County,FRANKFURT,IL,d3656
SHERIDAN COUNTY JAIL,Sheridan County,PLENTYWOOD,MT,d3657
SHERIDAN COUNTY JAIL,Sheridan County,SHERIDAN,WY,d3658
SHERIDAN FED.CORR.INST.,Yamhill County,SHERIDAN,OR,d3659
SHERMAN COUNTY SHERIFF,Sherman County,STRATFORD,TX,d3660
SHIAWASSEE COUNTY JAIL,Shiawassee County,CORUNNA,MI,d3661
SHOSHONE CO PUBLIC SAFETY FACILITY,Shoshone County,WALLACE,ID,d3662
SHREVEPORT CITY JAIL,Caddo Parish,SHREVEPORT,LA,d3663
SHREVEPORT HOLD ROOM,Caddo Parish,SHREVEPORT,LA,d3664
SHREWSBURY POLICE DEPT.,St. Louis County,SHREWSBURY,MO,d3665
SHREWSBURY POLICE DEPT.,Worcester County,SHREWSBURY,MA,d3666
SHUTTER CREEK CORR.INST.,Coos County,NORTH BEND,OR,d3667
"SIBLEY COUNTY JAIL, MN",Sibley County,GAYLORD,MN,d3668
SIERRA COUNTY DET CTR,Sierra County,TRUTH/CONSEQUEN,NM,d3669
SIERRA COUNTY JAIL,Sierra County,DOWNIEVILLE,CA,d3670
SIERRA MADRE POLICE DEPT.,Los Angeles County,SIERRA MADRE,CA,d3671
SIGNAL HILL POLICE DEPT.,Los Angeles County,SIGNAL HILL,CA,d3672
SILVERDALE/HAMILTON COUNTY,Hamilton County,CHATTANOOGA,TN,d3673
SIMPSON CO. DETENTION CENTER,Simpson County,FRANKLIN,KY,d3674
SIMPSON COUNTY JAIL,Simpson County,MENDENHALL,MS,d3675
"SING SING, OSSINING, NY",Westchester County,OSSINING,NY,d3676
SIOUX CITY HOLD ROOM,Woodbury County,SIOUX CITY,IA,d3677
SIOUX COUNTY JAIL,Sioux County,ORANGE CITY,IA,d3678
SISKIYOU JAIL,Siskiyou County,YREKA,CA,d3679
SKAGIT COUNTY JAIL,Skagit County,MOUNT VERNON,WA,d3680
SKAMANIA COUNTY JAIL,Skamania County,STEVENSON,WA,d3681
SKOKIE POLICE DEPT.,Cook County,SKOKIE,IL,d3682
SLIDELL PD JAIL,St. Tammany Parish,SLIDELL,LA,d3683
SMITH COUNTY JAIL,Smith County,RALEIGH,MS,d3684
SMITH COUNTY JAIL,Smith County,TYLER,TX,d3685
SMITH COUNTY SHERIFF,Smith County,CARTHAGE,TN,d3686
SMYRNA CITY JAIL,Cobb County,SMYRNA,GA,d3687
SNAKE RIVER JUVENILE,Twin Falls County,TWIN FALLS,ID,d3688
SND DISTRICT STAGING,San Diego County,SAN DIEGO,CA,d3689
SNJ HOLD ROOM,Santa Clara County,SAN JOSE,CA,d3690
SNOHOMISH COUNTY JAIL,Snohomish County,EVERETT,WA,d3691
SNYDER COUNTY JAIL,Snyder County,SELINS GROVE,PA,d3692
SOLANO CO. DET. FACILITY,Solano County,FAIRFIELD,CA,d3693
SOLON CITY JAIL,Cuyahoga County,SOLON,OH,d3694
SOMERSET COUNTY DET CENTER,Somerset County,WESTOVER,MD,d3695
SOMERSET COUNTY JAIL,Somerset County,SKOWHEGAN,ME,d3696
SOMERSET COUNTY JAIL,Somerset County,SOMERSET,PA,d3697
SOMERSET COUNTY JAIL,Somerset County,SOMERVILLE,NJ,d3698
SOMERVELL COUNTY SHERIFF'S DEPT.,Somervell County,GLEN ROSE,TX,d3699
SOMERVILLE POLICE DEPT.,Burleson County,SOMERVILLE,TX,d3700
SONOMA CO MAIN ADULT DET,Sonoma County,SANTA ROSA,CA,d3701
